frame,hour,lane,vehicle_count,congestion,signal_duration
5925,3,South,2,Low,23
5925,3,East,0,Low,15
5925,3,West,1,Low,19
5940,3,North,10,High,55
5940,3,South,3,Low,27
5940,3,East,0,Low,15
5940,3,West,1,Low,19
5955,3,North,9,High,51
5955,3,South,3,Low,27
5955,3,East,0,Low,15
5955,3,West,1,Low,19
5970,3,North,9,High,51
5970,3,South,3,Low,27
5970,3,East,0,Low,15
5970,3,West,0,Low,15
5985,3,North,5,Medium,35
5985,3,South,4,Medium,31
5985,3,East,0,Low,15
5985,3,West,0,Low,15
6000,3,North,7,Medium,43
6000,3,South,3,Low,27
6000,3,East,0,Low,15
6000,3,West,1,Low,19
6015,3,North,5,Medium,35
6015,3,South,2,Low,23
6015,3,East,0,Low,15
6015,3,West,1,Low,19
6030,3,North,4,Medium,31
6030,3,South,2,Low,23
6030,3,East,0,Low,15
6030,3,West,1,Low,19
6045,3,North,5,Medium,35
6045,3,South,2,Low,23
6045,3,East,0,Low,15
6045,3,West,1,Low,19
6060,3,North,5,Medium,35
6060,3,South,1,Low,19
6060,3,East,0,Low,15
6060,3,West,1,Low,19
6075,3,North,4,Medium,31
6075,3,South,1,Low,19
6075,3,East,0,Low,15
6075,3,West,1,Low,19
6090,3,North,3,Low,27
6090,3,South,2,Low,23
6090,3,East,0,Low,15
6090,3,West,0,Low,15
6105,3,North,5,Medium,35
6105,3,South,1,Low,19
6105,3,East,0,Low,15
6105,3,West,0,Low,15
6120,3,North,5,Medium,35
6120,3,South,2,Low,23
6120,3,East,0,Low,15
6120,3,West,0,Low,15
6135,3,North,6,Medium,39
6135,3,South,1,Low,19
6135,3,East,0,Low,15
6135,3,West,0,Low,15
6150,3,North,8,Medium,47
6150,3,South,1,Low,19
6150,3,East,0,Low,15
6150,3,West,0,Low,15
6165,3,North,6,Medium,39
6165,3,South,4,Medium,31
6165,3,East,0,Low,15
6165,3,West,0,Low,15
6180,3,North,6,Medium,39
6180,3,South,3,Low,27
6180,3,East,0,Low,15
6180,3,West,0,Low,15
6195,3,North,6,Medium,39
6195,3,South,1,Low,19
6195,3,East,0,Low,15
6195,3,West,0,Low,15
6210,3,North,6,Medium,39
6210,3,South,3,Low,27
6210,3,East,0,Low,15
6210,3,West,0,Low,15
6225,3,North,9,High,51
6225,3,South,2,Low,23
6225,3,East,0,Low,15
6225,3,West,0,Low,15
6240,3,North,7,Medium,43
6240,3,South,1,Low,19
6240,3,East,0,Low,15
6240,3,West,0,Low,15
6255,3,North,6,Medium,39
6255,3,South,2,Low,23
6255,3,East,0,Low,15
6255,3,West,0,Low,15
6270,3,North,8,Medium,47
6270,3,South,2,Low,23
6270,3,East,0,Low,15
6270,3,West,0,Low,15
6285,3,North,7,Medium,43
6285,3,South,3,Low,27
6285,3,East,0,Low,15
6285,3,West,0,Low,15
6300,3,North,7,Medium,43
6300,3,South,3,Low,27
6300,3,East,0,Low,15
6300,3,West,0,Low,15
6315,3,North,6,Medium,39
6315,3,South,4,Medium,31
6315,3,East,0,Low,15
6315,3,West,0,Low,15
6330,3,North,9,High,51
6330,3,South,3,Low,27
6330,3,East,0,Low,15
6330,3,West,1,Low,19
6345,3,North,7,Medium,43
6345,3,South,1,Low,19
6345,3,East,0,Low,15
6345,3,West,2,Low,23
6360,3,North,7,Medium,43
6360,3,South,3,Low,27
6360,3,East,0,Low,15
6360,3,West,0,Low,15
6375,3,North,11,High,59
6375,3,South,2,Low,23
6375,3,East,0,Low,15
6375,3,West,1,Low,19
6390,3,North,8,Medium,47
6390,3,South,2,Low,23
6390,3,East,0,Low,15
6390,3,West,1,Low,19
6405,3,North,9,High,51
6405,3,South,2,Low,23
6405,3,East,0,Low,15
6405,3,West,2,Low,23
6420,3,North,8,Medium,47
6420,3,South,3,Low,27
6420,3,East,0,Low,15
6420,3,West,0,Low,15
6435,3,North,6,Medium,39
6435,3,South,3,Low,27
6435,3,East,0,Low,15
6435,3,West,0,Low,15
6450,3,North,5,Medium,35
6450,3,South,4,Medium,31
6450,3,East,0,Low,15
6450,3,West,0,Low,15
6465,3,North,7,Medium,43
6465,3,South,1,Low,19
6465,3,East,0,Low,15
6465,3,West,0,Low,15
6480,3,North,4,Medium,31
6480,3,South,3,Low,27
6480,3,East,0,Low,15
6480,3,West,0,Low,15
6495,3,North,5,Medium,35
6495,3,South,4,Medium,31
6495,3,East,0,Low,15
6495,3,West,0,Low,15
6510,3,North,4,Medium,31
6510,3,South,1,Low,19
6510,3,East,0,Low,15
6510,3,West,0,Low,15
6525,3,North,4,Medium,31
6525,3,South,1,Low,19
6525,3,East,0,Low,15
6525,3,West,0,Low,15
6540,3,North,3,Low,27
6540,3,South,2,Low,23
6540,3,East,0,Low,15
6540,3,West,0,Low,15
6555,3,North,3,Low,27
6555,3,South,1,Low,19
6555,3,East,0,Low,15
6555,3,West,0,Low,15
6570,3,North,2,Low,23
6570,3,South,2,Low,23
